StateAbbr,PlaceName,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
LA,Kenner,36.0,6.2,6.7,20.1,12.4,39.2,35.4,37.5,16.3
LA,Lafayette,35.4,5.9,6.4,18.9,10.8,35.8,33.7,34.5,18.3
LA,Lake Charles,41.5,6.4,7.6,23.1,13.8,39.2,40.3,38.3,23.0
LA,New Orleans,38.0,5.3,6.4,21.4,13.5,35.5,34.4,38.4,21.5
LA,Shreveport,42.8,6.2,7.4,23.2,13.9,39.1,39.7,40.3,21.4
ME,Portland,27.5,6.4,5.3,16.9,7.9,35.0,27.0,30.3,13.7
MD,Baltimore,38.1,5.6,6.3,24.8,13.6,34.7,34.0,44.2,20.1
MA,Boston,25.1,4.7,4.4,16.4,8.5,28.7,21.9,36.4,17.6
MA,Brockton,36.0,6.4,6.8,24.8,11.6,35.5,34.4,45.6,24.7
MA,Cambridge,20.4,4.5,3.1,12.5,5.5,26.7,20.0,33.6,12.4
MA,Fall River,34.3,7.0,7.7,26.2,11.3,39.6,32.3,43.4,28.5
MA,Lawrence,28.4,4.4,6.3,21.8,12.9,35.9,33.6,42.8,23.8
MA,Lowell,28.3,5.2,5.3,20.3,9.7,34.8,25.1,38.7,23.0
MA,Lynn,29.5,5.6,6.2,21.5,10.7,35.5,29.5,41.7,20.0
MA,New Bedford,34.5,6.9,7.7,25.6,11.9,39.4,33.2,44.0,28.0
MA,Newton,26.4,7.2,4.5,9.9,7.1,33.6,19.4,30.3,10.1
MA,Quincy,29.4,6.4,5.3,15.9,8.4,33.8,20.9,36.7,15.0
MA,Somerville,21.2,4.6,3.5,15.2,6.0,27.5,21.9,34.6,16.7
MA,Springfield,31.7,5.4,7.2,23.8,12.8,36.0,35.7,43.1,24.6
MA,Worcester,30.1,5.8,5.8,21.9,9.4,34.9,29.6,40.0,20.1
MI,Ann Arbor,19.1,4.6,3.4,15.5,5.6,29.3,21.3,31.0,7.4
MI,Dearborn,32.6,6.9,7.4,26.4,9.3,38.6,31.3,38.5,15.0
MI,Detroit,46.6,5.6,8.7,31.2,17.4,39.9,44.7,50.5,25.7
MI,Farmington Hills,32.0,7.4,5.7,15.1,8.6,38.8,26.0,35.0,9.0
MI,Flint,41.0,5.6,8.5,31.6,15.8,40.5,41.6,44.0,25.4
MI,Grand Rapids,30.1,5.8,6.0,21.5,9.9,34.3,31.9,35.4,14.0
MI,Kalamazoo,26.4,4.9,5.4,23.6,8.6,31.8,32.6,34.4,15.4
MI,Lansing,31.1,5.4,6.1,23.0,10.2,36.6,36.0,36.5,17.2
MI,Livonia,32.3,8.3,6.5,17.9,8.0,38.6,26.7,34.7,9.1
MI,Rochester Hills,29.2,7.2,5.2,14.9,7.6,38.4,24.5,33.8,8.2
MI,Southfield,41.7,7.0,6.8,18.6,13.2,39.6,35.1,42.5,13.3
